ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
739888851,87852633,POINT (1.303906 48.75186),1.0,POINT (1.4987735 48.691944),22.0 km,22 mins
78012267,87852633,POINT (1.3719853 48.7292064),1.0,POINT (1.4987735 48.691944),12.8 km,19 mins
700168298,87852633,POINT (1.210611 48.7580989),1.0,POINT (1.4987735 48.691944),28.9 km,28 mins
162858075,243033408,POINT (1.3746477 48.7222691),1.0,POINT (1.332848 48.726393),6.3 km,9 mins
78007018,243033408,POINT (1.351054 48.689927),1.0,POINT (1.332848 48.726393),7.0 km,10 mins
856089133,243033408,POINT (1.5230773 48.6454179),0.0,POINT (1.332848 48.726393),22.4 km,1 hour 17 mins
842621873,243033408,POINT (1.3798422 48.728863),1.0,POINT (1.332848 48.726393),4.3 km,9 mins
838320706,243033408,POINT (1.3919715 48.7385156),1.0,POINT (1.332848 48.726393),5.5 km,11 mins
776399834,243033408,POINT (1.3414973 48.7272205),1.0,POINT (1.332848 48.726393),1.0 km,3 mins
854577575,243033408,POINT (1.3579211 48.7447023),0.0,POINT (1.332848 48.726393),4.6 km,16 mins
648993440,243033408,POINT (1.2410824 48.7613818),1.0,POINT (1.332848 48.726393),11.1 km,12 mins
888888888,243033408,POINT (1.3796637 48.7209265),1.0,POINT (1.332848 48.726393),6.2 km,9 mins
480302361,243033408,POINT (1.3827051 48.7302065),1.0,POINT (1.332848 48.726393),4.4 km,10 mins
710283561,243033408,POINT (1.374591 48.7325587),1.0,POINT (1.332848 48.726393),3.8 km,8 mins
810259688,243033408,POINT (1.356134 48.711115),0.0,POINT (1.332848 48.726393),3.9 km,14 mins
764144581,243033408,POINT (1.5004603 48.6603812),1.0,POINT (1.332848 48.726393),21.7 km,22 mins
78007874,243033408,POINT (1.3803568 48.7389345),1.0,POINT (1.332848 48.726393),4.6 km,9 mins
746414886,243033408,POINT (1.1976441 48.7694552),1.0,POINT (1.332848 48.726393),14.4 km,18 mins
1452747150,243033408,POINT (1.2531719 48.8432071),0.0,POINT (1.332848 48.726393),19.9 km,1 hour 6 mins
78005437,243033408,POINT (1.3562779 48.712418),1.0,POINT (1.332848 48.726393),4.2 km,6 mins
213237245,243033408,POINT (1.2411202 48.7632262),1.0,POINT (1.332848 48.726393),11.3 km,12 mins
609468992,243033408,POINT (1.2325806 48.6405554),1.0,POINT (1.332848 48.726393),16.0 km,16 mins
818696864,243033408,POINT (1.3579211 48.7447023),1.0,POINT (1.332848 48.726393),3.6 km,8 mins
813991780,243033408,POINT (1.0731951 48.6927148),1.0,POINT (1.332848 48.726393),21.3 km,21 mins
739888851,243033408,POINT (1.303906 48.75186),1.0,POINT (1.332848 48.726393),6.4 km,8 mins
78012267,243033408,POINT (1.3719853 48.7292064),1.0,POINT (1.332848 48.726393),3.8 km,8 mins
700168298,243033408,POINT (1.210611 48.7580989),1.0,POINT (1.332848 48.726393),13.2 km,14 mins
162858075,817127257,POINT (1.3746477 48.7222691),1.0,POINT (1.3833051 48.7249427),1.2 km,4 mins
78007018,817127257,POINT (1.351054 48.689927),1.0,POINT (1.3833051 48.7249427),7.1 km,10 mins
856089133,817127257,POINT (1.5230773 48.6454179),0.0,POINT (1.3833051 48.7249427),16.6 km,57 mins
842621873,817127257,POINT (1.3798422 48.728863),1.0,POINT (1.3833051 48.7249427),0.9 km,2 mins
838320706,817127257,POINT (1.3919715 48.7385156),1.0,POINT (1.3833051 48.7249427),1.9 km,5 mins
776399834,817127257,POINT (1.3414973 48.7272205),1.0,POINT (1.3833051 48.7249427),4.7 km,11 mins
854577575,817127257,POINT (1.3579211 48.7447023),0.0,POINT (1.3833051 48.7249427),4.1 km,17 mins
648993440,817127257,POINT (1.2410824 48.7613818),1.0,POINT (1.3833051 48.7249427),14.0 km,18 mins
888888888,817127257,POINT (1.3796637 48.7209265),1.0,POINT (1.3833051 48.7249427),0.7 km,2 mins
480302361,817127257,POINT (1.3827051 48.7302065),1.0,POINT (1.3833051 48.7249427),0.7 km,3 mins
710283561,817127257,POINT (1.374591 48.7325587),1.0,POINT (1.3833051 48.7249427),1.4 km,4 mins
810259688,817127257,POINT (1.356134 48.711115),0.0,POINT (1.3833051 48.7249427),3.5 km,12 mins
764144581,817127257,POINT (1.5004603 48.6603812),1.0,POINT (1.3833051 48.7249427),13.1 km,17 mins
78007874,817127257,POINT (1.3803568 48.7389345),1.0,POINT (1.3833051 48.7249427),2.3 km,5 mins
746414886,817127257,POINT (1.1976441 48.7694552),1.0,POINT (1.3833051 48.7249427),17.3 km,25 mins
1452747150,817127257,POINT (1.2531719 48.8432071),0.0,POINT (1.3833051 48.7249427),22.1 km,1 hour 12 mins
78005437,817127257,POINT (1.3562779 48.712418),1.0,POINT (1.3833051 48.7249427),4.3 km,6 mins
213237245,817127257,POINT (1.2411202 48.7632262),1.0,POINT (1.3833051 48.7249427),14.2 km,19 mins
609468992,817127257,POINT (1.2325806 48.6405554),1.0,POINT (1.3833051 48.7249427),17.7 km,19 mins
818696864,817127257,POINT (1.3579211 48.7447023),1.0,POINT (1.3833051 48.7249427),6.1 km,11 mins
813991780,817127257,POINT (1.0731951 48.6927148),1.0,POINT (1.3833051 48.7249427),25.5 km,30 mins
739888851,817127257,POINT (1.303906 48.75186),1.0,POINT (1.3833051 48.7249427),9.3 km,15 mins
78012267,817127257,POINT (1.3719853 48.7292064),1.0,POINT (1.3833051 48.7249427),1.5 km,4 mins
700168298,817127257,POINT (1.210611 48.7580989),1.0,POINT (1.3833051 48.7249427),16.1 km,21 mins
162858075,480337694,POINT (1.3746477 48.7222691),1.0,POINT (1.3390499 48.7297346),5.8 km,9 mins
78007018,480337694,POINT (1.351054 48.689927),1.0,POINT (1.3390499 48.7297346),6.6 km,10 mins
856089133,480337694,POINT (1.5230773 48.6454179),0.0,POINT (1.3390499 48.7297346),21.5 km,1 hour 13 mins
842621873,480337694,POINT (1.3798422 48.728863),1.0,POINT (1.3390499 48.7297346),3.9 km,9 mins
838320706,480337694,POINT (1.3919715 48.7385156),1.0,POINT (1.3390499 48.7297346),5.0 km,11 mins
776399834,480337694,POINT (1.3414973 48.7272205),1.0,POINT (1.3390499 48.7297346),0.7 km,3 mins
854577575,480337694,POINT (1.3579211 48.7447023),0.0,POINT (1.3390499 48.7297346),2.8 km,10 mins
648993440,480337694,POINT (1.2410824 48.7613818),1.0,POINT (1.3390499 48.7297346),10.6 km,12 mins
888888888,480337694,POINT (1.3796637 48.7209265),1.0,POINT (1.3390499 48.7297346),5.7 km,8 mins
480302361,480337694,POINT (1.3827051 48.7302065),1.0,POINT (1.3390499 48.7297346),3.9 km,10 mins
710283561,480337694,POINT (1.374591 48.7325587),1.0,POINT (1.3390499 48.7297346),3.4 km,7 mins
810259688,480337694,POINT (1.356134 48.711115),0.0,POINT (1.3390499 48.7297346),4.3 km,15 mins
764144581,480337694,POINT (1.5004603 48.6603812),1.0,POINT (1.3390499 48.7297346),21.2 km,22 mins
78007874,480337694,POINT (1.3803568 48.7389345),1.0,POINT (1.3390499 48.7297346),4.1 km,9 mins
746414886,480337694,POINT (1.1976441 48.7694552),1.0,POINT (1.3390499 48.7297346),13.9 km,18 mins
1452747150,480337694,POINT (1.2531719 48.8432071),0.0,POINT (1.3390499 48.7297346),20.0 km,1 hour 6 mins
78005437,480337694,POINT (1.3562779 48.712418),1.0,POINT (1.3390499 48.7297346),3.8 km,5 mins
213237245,480337694,POINT (1.2411202 48.7632262),1.0,POINT (1.3390499 48.7297346),10.9 km,12 mins
609468992,480337694,POINT (1.2325806 48.6405554),1.0,POINT (1.3390499 48.7297346),17.2 km,18 mins
818696864,480337694,POINT (1.3579211 48.7447023),1.0,POINT (1.3390499 48.7297346),3.1 km,8 mins
813991780,480337694,POINT (1.0731951 48.6927148),1.0,POINT (1.3390499 48.7297346),21.4 km,21 mins
739888851,480337694,POINT (1.303906 48.75186),1.0,POINT (1.3390499 48.7297346),5.9 km,8 mins
