ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
559475456,213156949,POINT (1.3756893 48.7210523),POINT (1.3400246 48.7286767),5590,493,4175,971
559277088,213156949,POINT (1.3756893 48.7210523),POINT (1.3400246 48.7286767),5590,493,4175,971
87852633,213156949,POINT (1.4987735 48.691944),POINT (1.3400246 48.7286767),17852,1326,16777,3479
243033408,213156949,POINT (1.332848 48.726393),POINT (1.3400246 48.7286767),686,119,720,136
817127257,213156949,POINT (1.3833051 48.7249427),POINT (1.3400246 48.7286767),4562,629,5073,1123
480337694,213156949,POINT (1.3390499 48.7297346),POINT (1.3400246 48.7286767),226,54,226,44
87274454,213156949,POINT (1.465217 48.6745197),POINT (1.3400246 48.7286767),18350,1168,15020,3307
541258495,213156949,POINT (1.2034312 48.771986),POINT (1.3400246 48.7286767),14024,1108,14316,2936
522099746,213156949,POINT (1.3745039 48.7290588),POINT (1.3400246 48.7286767),3696,514,3643,869
192451998,213156949,POINT (1.3327037 48.7263435),POINT (1.3400246 48.7286767),697,120,718,136
552306887,213156949,POINT (1.3748625 48.7296135),POINT (1.3400246 48.7286767),3634,506,3634,878
803656603,213156949,POINT (1.3819999 48.7236),POINT (1.3400246 48.7286767),4685,629,4760,1109
446362468,213156949,POINT (1.436412 48.7251381),POINT (1.3400246 48.7286767),11123,987,9782,2122
559475456,867813356,POINT (1.3756893 48.7210523),POINT (1.2796346 48.6692689),12724,808,10834,2445
559277088,867813356,POINT (1.3756893 48.7210523),POINT (1.2796346 48.6692689),12724,808,10834,2445
87852633,867813356,POINT (1.4987735 48.691944),POINT (1.2796346 48.6692689),23679,1584,19999,4226
243033408,867813356,POINT (1.332848 48.726393),POINT (1.2796346 48.6692689),8111,461,8235,1599
817127257,867813356,POINT (1.3833051 48.7249427),POINT (1.2796346 48.6692689),13410,937,11989,2689
480337694,867813356,POINT (1.3390499 48.7297346),POINT (1.2796346 48.6692689),8858,587,8858,1686
87274454,867813356,POINT (1.465217 48.6745197),POINT (1.2796346 48.6692689),19578,1311,16203,3535
541258495,867813356,POINT (1.2034312 48.771986),POINT (1.2796346 48.6692689),16626,1365,14742,3016
522099746,867813356,POINT (1.3745039 48.7290588),POINT (1.2796346 48.6692689),12140,947,11050,2507
192451998,867813356,POINT (1.3327037 48.7263435),POINT (1.2796346 48.6692689),8100,460,8233,1599
552306887,867813356,POINT (1.3748625 48.7296135),POINT (1.2796346 48.6692689),12078,939,11109,2517
803656603,867813356,POINT (1.3819999 48.7236),POINT (1.2796346 48.6692689),13227,911,11561,2629
446362468,867813356,POINT (1.436412 48.7251381),POINT (1.2796346 48.6692689),18256,1302,18241,3823
213156949,867813356,POINT (1.3400246 48.7286767),POINT (1.2796346 48.6692689),8797,589,8797,1702
559475456,658302934,POINT (1.3756893 48.7210523),POINT (1.3825654 48.7399113),4866,438,2958,617
559277088,658302934,POINT (1.3756893 48.7210523),POINT (1.3825654 48.7399113),4866,438,2958,617
87852633,658302934,POINT (1.4987735 48.691944),POINT (1.3825654 48.7399113),13826,1097,13662,2687
243033408,658302934,POINT (1.332848 48.726393),POINT (1.3825654 48.7399113),5161,631,4735,928
817127257,658302934,POINT (1.3833051 48.7249427),POINT (1.3825654 48.7399113),2871,414,2893,555
480337694,658302934,POINT (1.3390499 48.7297346),POINT (1.3825654 48.7399113),4789,669,4328,835
87274454,658302934,POINT (1.465217 48.6745197),POINT (1.3825654 48.7399113),11394,936,11906,2515
541258495,658302934,POINT (1.2034312 48.771986),POINT (1.3825654 48.7399113),16452,1242,18198,3680
522099746,658302934,POINT (1.3745039 48.7290588),POINT (1.3825654 48.7399113),2273,297,1887,444
192451998,658302934,POINT (1.3327037 48.7263435),POINT (1.3825654 48.7399113),5173,632,4732,928
552306887,658302934,POINT (1.3748625 48.7296135),POINT (1.3825654 48.7399113),2211,288,1811,438
803656603,658302934,POINT (1.3819999 48.7236),POINT (1.3825654 48.7399113),2993,415,2626,574
446362468,658302934,POINT (1.436412 48.7251381),POINT (1.3825654 48.7399113),6421,721,5891,1281
213156949,658302934,POINT (1.3400246 48.7286767),POINT (1.3825654 48.7399113),4820,671,4359,835
867813356,658302934,POINT (1.2796346 48.6692689),POINT (1.3825654 48.7399113),15963,1046,12946,2436
559475456,78899980,POINT (1.3756893 48.7210523),POINT (1.3760534 48.7188515),513,75,371,86
559277088,78899980,POINT (1.3756893 48.7210523),POINT (1.3760534 48.7188515),513,75,371,86
87852633,78899980,POINT (1.4987735 48.691944),POINT (1.3760534 48.7188515),13102,948,13021,2614
243033408,78899980,POINT (1.332848 48.726393),POINT (1.3760534 48.7188515),5730,471,4569,1054
817127257,78899980,POINT (1.3833051 48.7249427),POINT (1.3760534 48.7188515),1116,177,1116,212
480337694,78899980,POINT (1.3390499 48.7297346),POINT (1.3760534 48.7188515),5414,518,4163,961
87274454,78899980,POINT (1.465217 48.6745197),POINT (1.3760534 48.7188515),10670,786,10326,2304
541258495,78899980,POINT (1.2034312 48.771986),POINT (1.3760534 48.7188515),18179,1345,18033,3806
522099746,78899980,POINT (1.3745039 48.7290588),POINT (1.3760534 48.7188515),1657,244,1433,332
192451998,78899980,POINT (1.3327037 48.7263435),POINT (1.3760534 48.7188515),5719,470,4567,1054
552306887,78899980,POINT (1.3748625 48.7296135),POINT (1.3760534 48.7188515),1716,255,1492,342
803656603,78899980,POINT (1.3819999 48.7236),POINT (1.3760534 48.7188515),934,151,934,228
446362468,78899980,POINT (1.436412 48.7251381),POINT (1.3760534 48.7188515),6372,609,5766,1325
213156949,78899980,POINT (1.3400246 48.7286767),POINT (1.3760534 48.7188515),5444,520,4193,961
867813356,78899980,POINT (1.2796346 48.6692689),POINT (1.3760534 48.7188515),12468,798,11426,2388
658302934,78899980,POINT (1.3825654 48.7399113),POINT (1.3760534 48.7188515),3663,300,3643,832
559475456,197274024,POINT (1.3756893 48.7210523),POINT (1.3616833 48.7136486),2211,187,1510,408
559277088,197274024,POINT (1.3756893 48.7210523),POINT (1.3616833 48.7136486),2211,187,1510,408
87852633,197274024,POINT (1.4987735 48.691944),POINT (1.3616833 48.7136486),14473,1019,14365,2885
243033408,197274024,POINT (1.332848 48.726393),POINT (1.3616833 48.7136486),4012,314,3969,952
817127257,197274024,POINT (1.3833051 48.7249427),POINT (1.3616833 48.7136486),2897,316,2664,652
480337694,197274024,POINT (1.3390499 48.7297346),POINT (1.3616833 48.7136486),3696,362,3597,968
87274454,197274024,POINT (1.465217 48.6745197),POINT (1.3616833 48.7136486),14970,861,11670,2575
541258495,197274024,POINT (1.2034312 48.771986),POINT (1.3616833 48.7136486),16461,1189,17576,3756
522099746,197274024,POINT (1.3745039 48.7290588),POINT (1.3616833 48.7136486),2151,282,2151,518
192451998,197274024,POINT (1.3327037 48.7263435),POINT (1.3616833 48.7136486),4001,313,3971,952
